iter	Passed	Remaining
0	60	60616
1	61	30638
2	61	20600
3	62	15560
4	62	12525
5	63	10503
6	63	9052
7	64	8057
8	65	7208
9	65	6514
10	66	5942
11	66	5463
12	66	5065
13	67	4737
14	67	4433
15	67	4174
16	68	3946
17	68	3746
18	68	3561
19	69	3402
20	69	3262
21	70	3131
22	70	3002
23	71	2893
24	71	2789
25	71	2694
26	72	2611
27	73	2536
28	73	2470
29	74	2395
30	74	2324
31	75	2282
32	75	2219
33	76	2164
34	76	2112
35	77	2068
36	77	2020
37	78	1974
38	78	1929
39	78	1894
40	79	1858
41	79	1821
42	80	1784
43	80	1750
44	81	1719
45	81	1690
46	81	1661
47	82	1631
48	82	1601
49	83	1587
50	83	1562
51	84	1538
52	84	1513
53	85	1490
54	85	1468
55	85	1446
56	86	1425
57	86	1404
58	87	1387
59	87	1369
60	87	1352
61	88	1336
62	88	1318
63	89	1302
64	89	1288
65	89	1272
66	90	1258
67	91	1254
68	91	1240
69	92	1230
70	93	1217
71	93	1204
72	93	1193
73	94	1179
74	94	1169
75	95	1159
76	95	1147
77	96	1137
78	96	1127
79	97	1116
80	97	1107
81	98	1100
82	98	1089
83	99	1081
84	99	1073
85	100	1064
86	100	1055
87	100	1046
88	101	1039
89	101	1031
90	102	1021
91	102	1011
92	102	1002
93	103	997
94	103	988
95	104	982
96	104	976
97	105	969
98	105	961
99	106	954
100	106	946
101	106	938
102	106	931
103	107	927
104	108	921
105	108	915
106	108	909
107	109	903
108	109	897
109	110	891
110	110	885
111	110	880
112	111	875
113	111	870
114	112	864
115	112	859
116	113	853
117	113	848
118	113	843
119	114	837
120	114	832
121	114	827
122	115	822
123	115	817
124	116	813
125	116	809
126	117	804
127	117	800
128	118	797
129	118	793
130	118	788
131	119	784
132	120	782
133	120	777
134	120	774
135	121	770
136	121	765
137	122	762
138	122	757
139	122	753
140	123	749
141	123	744
142	123	741
143	124	738
144	124	734
145	125	731
146	125	728
147	125	725
148	126	722
149	126	718
150	127	715
151	127	711
152	128	708
153	128	704
154	128	702
155	129	699
156	129	696
157	130	693
158	130	690
159	130	687
160	131	683
161	131	680
162	131	677
163	132	674
164	132	672
165	133	669
166	133	666
167	133	663
168	134	660
169	134	658
170	135	657
171	136	657
172	137	655
173	137	652
174	138	652
175	138	649
176	139	648
177	139	646
178	140	644
179	140	642
180	141	639
181	141	636
182	141	633
183	142	631
184	142	629
185	143	627
186	143	624
187	143	621
188	144	619
189	144	616
190	144	613
191	145	611
192	145	608
193	145	606
194	146	603
195	146	601
196	146	598
197	147	596
198	147	594
199	148	592
200	148	590
201	148	588
202	149	585
203	149	583
204	150	581
205	150	579
206	150	578
207	151	576
208	151	574
209	152	573
210	152	571
211	153	569
212	153	567
213	153	565
214	155	566
215	155	564
216	155	562
217	156	560
218	156	558
219	157	557
220	157	555
221	157	553
222	158	551
223	158	549
224	159	547
225	159	545
226	159	544
227	160	542
228	160	540
229	161	539
230	161	537
231	161	535
232	162	534
233	162	532
234	163	531
235	163	529
236	164	528
237	164	526
238	164	524
239	165	522
240	165	520
241	165	519
242	166	520
243	167	518
244	167	517
245	168	515
246	168	513
247	168	512
248	170	512
249	170	510
250	170	509
251	171	508
252	171	506
253	171	504
254	172	503
255	172	501
256	173	500
257	173	498
258	173	497
259	174	496
260	174	494
261	175	493
262	175	492
263	175	490
264	176	488
265	176	487
266	176	485
267	177	484
268	177	483
269	178	481
270	178	480
271	179	479
272	179	478
273	179	476
274	180	475
275	180	474
276	181	472
277	181	471
278	182	470
279	182	469
280	182	467
281	183	466
282	183	465
283	183	463
284	184	462
285	184	461
286	185	459
287	185	458
288	185	457
289	186	456
290	186	455
291	187	453
292	187	452
293	187	451
294	188	450
295	188	449
296	189	448
297	189	446
298	190	445
299	190	444
300	190	443
301	191	442
302	191	440
303	192	439
304	192	438
305	192	437
306	193	436
307	193	434
308	193	433
309	194	433
310	195	432
311	195	431
312	196	430
313	196	429
314	196	428
315	197	426
316	197	425
317	197	424
318	198	423
319	198	422
320	199	421
321	199	420
322	200	419
323	200	418
324	200	417
325	201	416
326	201	415
327	202	414
328	202	413
329	203	412
330	203	411
331	204	410
332	204	409
333	204	408
334	205	407
335	205	406
336	205	405
337	206	404
338	206	403
339	207	402
340	207	401
341	208	400
342	208	399
343	208	398
344	209	397
345	209	396
346	210	395
347	210	394
348	210	393
349	211	392
350	211	391
351	211	390
352	212	389
353	212	388
354	213	387
355	213	386
356	213	385
357	214	384
358	214	383
359	215	382
360	215	381
361	216	380
362	216	380
363	217	379
364	217	378
365	217	377
366	218	376
367	218	375
368	219	374
369	219	373
370	219	372
371	220	371
372	220	370
373	220	369
374	221	368
375	221	367
376	222	366
377	222	366
378	222	365
379	223	364
380	223	363
381	224	362
382	224	361
383	224	360
384	225	360
385	225	359
386	226	358
387	226	357
388	227	356
389	227	355
390	228	355
391	228	354
392	228	353
393	229	352
394	229	351
395	230	350
396	230	350
397	230	349
398	231	348
399	231	347
400	232	346
401	232	346
402	233	345
403	233	344
404	234	343
405	234	343
406	234	342
407	235	341
408	235	340
409	236	339
410	236	339
411	236	338
412	237	337
413	237	336
414	238	335
415	238	334
416	238	334
417	239	333
418	239	332
419	240	331
420	240	330
421	241	330
422	241	329
423	241	328
424	242	327
425	242	326
426	242	326
427	243	325
428	243	324
429	244	323
430	244	323
431	245	322
432	245	321
433	246	320
434	246	320
435	246	319
436	247	318
437	247	317
438	248	317
439	248	316
